"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"4,4,8,18,Jets,ACADEMY,PLAYERA"
"1,5,6,18,Jets,ACADEMY,PLAYERB"
"4,6,10,18,Jets,ACADEMY,PLAYERC"
"2,4,6,18,Jets,ACADEMY,PLAYERD"
"2,2,4,18,Jets,ACADEMY,PLAYERE"
"4,3,7,18,Jets,ACADEMY,PLAYERF"
"1,3,4,18,Jets,ACADEMY,PLAYERG"
"3,8,11,18,Jets,CHAMPION,PLAYERA"
"5,6,11,18,Jets,CHAMPION,PLAYERB"
"6,5,11,18,Jets,CHAMPION,PLAYERC"
"1,3,4,18,Jets,CHAMPION,PLAYERD"
"1,2,3,18,Jets,CHAMPION,PLAYERE"
"4,6,10,18,Jets,CHAMPION,PLAYERF"
"4,8,12,18,Jets,MASTER,PLAYERA"
"2,3,5,18,Jets,MASTER,PLAYERB"
"0,3,3,18,Jets,MASTER,PLAYERC"
"3,5,8,18,Jets,MASTER,PLAYERD"
"4,4,8,18,Jets,MASTER,PLAYERE"
"3,5,8,18,Jets,MASTER,PLAYERF"
"2,2,4,18,Jets,MASTER,PLAYERG"
"2,7,9,18,Jets,PREMIER,PLAYERA"
"4,5,9,18,Jets,PREMIER,PLAYERB"
"1,4,5,18,Jets,PREMIER,PLAYERC"
"6,4,10,18,Jets,PREMIER,PLAYERD"
"2,1,3,18,Jets,PREMIER,PLAYERE"
"3,6,9,18,Jets,PREMIER,PLAYERF"
"2,7,9,18,Knights,ACADEMY,PLAYERA"
"2,5,7,18,Knights,ACADEMY,PLAYERB"
"4,2,6,18,Knights,ACADEMY,PLAYERC"
"4,4,8,18,Knights,ACADEMY,PLAYERD"
"1,7,8,18,Knights,ACADEMY,PLAYERE"
"3,1,4,18,Knights,ACADEMY,PLAYERF"
"4,5,9,18,Knights,ACADEMY,PLAYERG"
"6,5,11,18,Knights,CHAMPION,PLAYERA"
"3,7,10,18,Knights,CHAMPION,PLAYERB"
"6,3,9,18,Knights,CHAMPION,PLAYERC"
"3,8,11,18,Knights,CHAMPION,PLAYERD"
"1,5,6,18,Knights,CHAMPION,PLAYERE"
"1,2,3,18,Knights,CHAMPION,PLAYERF"
"6,4,10,18,Knights,MASTER,PLAYERA"
"6,6,12,18,Knights,MASTER,PLAYERB"
"4,8,12,18,Knights,MASTER,PLAYERC"
"3,7,10,18,Knights,MASTER,PLAYERD"
"1,5,6,18,Knights,MASTER,PLAYERE"
"6,6,12,18,Knights,PREMIER,PLAYERA"
"2,4,6,18,Knights,PREMIER,PLAYERB"
"4,7,11,18,Knights,PREMIER,PLAYERC"
