"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"912,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Master League,Doubles,0,0,Not Played / Data Unavailable"
"2295,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"2176,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"50,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Master League,Standard,0,0,Not Played / Data Unavailable"
"854,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Champion League,Standard,0,0,Not Played / Data Unavailable"
"919,155,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Spartans,Puffins,Academy League,Standard,0,0,Not Played / Data Unavailable"
"2595,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Master League,Doubles,0,0,Not Played / Data Unavailable"
"853,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"909,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"908,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Master League,Standard,0,0,Not Played / Data Unavailable"
"904,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Champion League,Standard,0,0,Not Played / Data Unavailable"
"920,156,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Blizzard,Hawks,Academy League,Standard,0,0,Not Played / Data Unavailable"
"3879,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Master League,Doubles,0,0,Not Played / Data Unavailable"
"915,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"914,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"924,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Master League,Standard,0,0,Not Played / Data Unavailable"
"2608,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Champion League,Standard,0,0,Not Played / Data Unavailable"
"25,157,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Eclipse,Hive,Academy League,Standard,0,0,Not Played / Data Unavailable"
"8,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Master League,Doubles,0,0,Not Played / Data Unavailable"
"40,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"2296,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"907,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Master League,Standard,0,0,Not Played / Data Unavailable"
