"fixture_id,match_group_id,home,away"
"835,50,Tyrants,Dodgers"
"836,50,Shadow,Comets"
"837,50,Puffins,Ducks"
"838,50,Hawks,Foxes"
"839,50,Lightning,Spartans"
"840,50,Dodgers,Tyrants"
"841,50,Shadow,Wizards"
"842,50,Sabres,Foxes"
"843,50,Eclipse,Express"
"844,50,Outlaws,Shadow"
"845,50,Tyrants,Bears"
"846,50,Flames,Dodgers"
"847,50,Hurricanes,Wolves"
"848,50,Spectre,Rhinos"
"849,50,Dodgers,Bulls"
"850,50,Bears,Shadow"
"851,50,Express,Spartans"
"852,50,Hurricanes,Foxes"
"853,50,Wolves,Hawks"
"854,50,Shadow,Dodgers"
"855,50,Hive,Lightning"
"856,50,Ducks,Aviators"
"857,50,Blizzard,Wolves"
"858,50,Demolition,Pandas"
"859,50,Outlaws,Comets"
"860,50,Sabres,Aviators"
"861,50,Flames,Tyrants"
"862,50,Puffins,Foxes"
"863,50,Lightning,Express"
"864,50,Hurricanes,Hive"
"865,50,Bulls,Pandas"
"866,50,Blizzard,Knights"
"867,50,Sharks,Flames"
"868,52,Elite,Dodgers"
"869,52,Outlaws,Bears"
